RecordKey,IsrcValue,Datestamp
1467884a-1bee-4eca-b3c7-ae7e26be6f18,GBF087500045,2021-09-02 20:08:22.652984
1467884a-1bee-4eca-b3c7-ae7e26be6f18,GBFO87500045,2021-09-02 20:08:22.652984
64779e6c-30a6-4186-b3ee-37051a4f911f,GBCBU7310348,2021-09-02 20:08:22.652984
3ac5b2ff-09c1-44e7-b654-818dc41fe678,GBF088200013,2021-09-02 20:08:22.652984
e76b5054-af5f-4aea-bac9-9576b6fabaa2,GBUM71206696,2021-09-02 20:08:22.652984
fd4d0b20-1f31-418c-9a66-9c96607ec235,GBCBU7419341,2021-09-02 20:08:22.652984
d493c0f3-3dcf-4cb6-965c-1a702b54f018,GBF087500042,2021-09-02 20:08:22.652984
d493c0f3-3dcf-4cb6-965c-1a702b54f018,GBFO87500042,2021-09-02 20:08:22.652984
8d053922-4f4d-40d2-a319-bac8fbea1e52,GBF087700742,2021-09-02 20:08:22.652984
8d3f7f30-e83a-4168-8aaf-6220c0d1efb2,GBF087600005,2021-09-02 20:08:22.652984
8d3f7f30-e83a-4168-8aaf-6220c0d1efb2,USRHD0612420,2021-09-02 20:08:22.652984
b389e4d6-1102-48ec-bff5-5aee410aba26,GBF087600005,2021-09-02 20:08:22.652984
b389e4d6-1102-48ec-bff5-5aee410aba26,GBF087800005,2021-09-02 20:08:22.652984
398535c7-9e07-43e9-8305-f50b0175c4bf,GBF087700753,2021-09-02 20:08:22.652984
966ec865-6ac0-4cc7-92a3-0174980219e5,GBCBU7410331,2021-09-02 20:08:22.652984
966ec865-6ac0-4cc7-92a3-0174980219e5,GBF087400152,2021-09-02 20:08:22.652984
284f2882-2f81-4582-84d6-031d97748604,GBF087700747,2021-09-02 20:08:22.652984
12b78129-5c01-4ec1-8b3b-2933e623c71d,GBCBU7410335,2021-09-02 20:08:22.652984
08651353-6b34-4584-9e07-fe5b7b79f253,GBF087800745,2021-09-02 20:08:22.652984
ade1106e-4da8-4a2b-9cde-768c3366c092,GBF087500040,2021-09-02 20:08:22.652984
ade1106e-4da8-4a2b-9cde-768c3366c092,GBFO87500040,2021-09-02 20:08:22.652984
d45c6973-96d2-4b18-a0c4-f9fcdff6c7dc,GBCBU7510343,2021-09-02 20:08:22.652984
cf31272d-53d9-4d89-b133-30a1e0ac0c28,GBF087700754,2021-09-02 20:08:22.652984
10802fd1-c3ad-49f4-8da1-73bd56aa9f61,GBAKW0080182,2021-09-02 20:08:22.652984
16158dee-e712-48e8-9951-4de206eb0b92,GBAKW9200058,2021-09-02 20:08:22.652984
939c7717-9224-499e-b6e9-8a4cd7d3a261,GBF087700015,2021-09-02 20:08:22.652984
80282279-b495-41f9-a8b1-799baae65365,GBF087700743,2021-09-02 20:08:22.652984
80333462-9617-409d-8d86-a0016c69cbe7,GBBLY1603973,2021-09-02 20:08:22.652984
f8aa3a67-5368-44c5-8d9e-4433dea9fab2,USBB40580275,2021-09-02 20:08:22.652984
db8b99df-ed71-4ef9-ae3c-532c192226e7,USBB10500073,2021-09-02 20:08:22.652984
db8b99df-ed71-4ef9-ae3c-532c192226e7,USBB40100040,2021-09-02 20:08:22.652984
00cc81c5-0dd9-45bb-a27b-ef1d5454bf85,USSM19700179,2021-09-02 20:08:22.652984
00cc81c5-0dd9-45bb-a27b-ef1d5454bf85,USSM19700204,2021-09-02 20:08:22.652984
d036d54a-639a-409d-81ac-f1293bb3c004,USBB10500075,2021-09-02 20:08:22.652984
d036d54a-639a-409d-81ac-f1293bb3c004,USBB40100017,2021-09-02 20:08:22.652984
ba519c4e-6d74-4c17-9c3a-7bbb8d6e4680,USAR19800521,2021-09-02 20:08:22.652984
e87af726-1fa3-4804-821b-741e35cb2811,USDJ20300845,2021-09-02 20:08:22.652984
ff22df38-fe40-4487-9006-fdc6a4662fe0,USBB49800302,2021-09-02 20:08:22.652984
8101a28e-36f5-482a-b947-773d605e96de,USRH11603456,2021-09-02 20:08:22.652984
7001506d-45cf-491a-bf76-a4da729eff1d,USAR19800511,2021-09-02 20:08:22.652984
