id,type,title,language,iswc,disambiguation,datestamp
df526e8b-60be-3e54-b499-1522da2e793b,,Long Life,,,,2021-09-01 07:54:18.340746
9dcb6617-fd91-4100-8197-a0aabf2da609,Song,Thnks fr th Mmrs,eng,T-904.734.890-3,,2021-09-01 07:54:18.340746
33b0aef7-6a42-3ec1-88cc-f3de6af7d407,,Halo,,,,2021-09-01 07:54:18.340746
c9f500c3-b25e-4cda-85d5-bc52a7727387,Song,Notell Hotel,eng,,,2021-09-01 07:54:18.340746
33bb8e89-c46f-3bbd-b44c-9dbb984ea67e,Song,Joy Ride,eng,,,2021-09-01 07:54:18.340746
4c35bf29-a68f-4629-96c4-ee48542e4167,Song,When the Hell Freezes Over,,,,2021-09-01 07:54:18.340746
ed4c5235-8adf-352d-9bf6-c2f0dc94d7f3,,The Love I Saw in You Was Just a Mirage,,,,2021-09-01 07:54:18.340746
9116a85a-cd0f-413d-8e4d-b6dba34c4290,Song,Power of Love,,,,2021-09-01 07:54:18.340746
9bdbcf26-fa44-3538-9752-2caabcbcf86f,,Can Stop This,,,,2021-09-01 07:54:18.340746
814af839-354c-4881-9583-12982b5d7d8d,Song,All Day and Night,eng,T-927.760.831-8,,2021-09-01 07:54:18.340746
e399693a-f0db-4033-83cc-810bfd215ba8,Song,Get ’em Up,eng,,,2021-09-01 07:54:18.340746
ece89dc8-e98d-4cd9-b730-4371778c2b69,Song,Land of the Dead,eng,,,2021-09-01 07:54:18.340746
fdde49cc-0c36-3e91-a6ba-7f592fe2af5c,Song,Last Caress,eng,,,2021-09-01 07:54:18.340746
a2de3f4d-2250-3d9b-beb5-b1d4a6036dc7,,Meeting in the Aisle,zxx,,,2021-09-01 07:54:18.340746
deac9699-c68c-4ae0-ac2f-64bf94ddb984,Song,Verbal Intercourse,eng,T-911.067.019-4,,2021-09-01 07:54:18.340746
83d2fd31-ba9b-44e8-b8b5-8db04d13a78e,Song,UFO-naut,nld,,,2021-09-01 07:54:18.340746
fdf917a9-cdaa-3acb-a4a6-321faa234baa,Song,Posthuman,eng,,,2021-09-01 07:54:18.340746
8d0531a5-49ed-43db-94fb-e7e237ee9ffa,Song,Rock the Shack,eng,T-011.080.067-3,,2021-09-01 07:54:18.340746
8f11c890-8fe8-4b6a-84a5-4992323f50a0,,Secrets,,T-010.891.453-9,,2021-09-01 07:54:18.340746
e8f22db4-6ee7-3c9c-a3ac-84d0f9215a1b,Song,My Girl,eng,T-070.112.259-9,,2021-09-01 07:54:18.340746
a71c71dc-4773-484c-9120-e7531c2da739,Song,How Can You Lose What You Never Had,eng,T-909.546.192-0,,2021-09-01 07:54:18.340746
8a5390ae-91e0-46e5-9d37-786f60b0e83d,Song,Tumbling Down,eng,,,2021-09-01 07:54:18.340746
84d80712-b8a8-4aaf-98ea-1258ac37c462,Song,Something’s in the House,eng,,,2021-09-01 07:54:18.340746
7846b250-598c-4ab4-89be-18d33aa32710,Song,Gimme Yours,eng,,,2021-09-01 07:54:18.340746
352611e9-7a96-4041-837b-38e22d4cadd5,Song,Arms Aloft,eng,T-904.680.077-5,,2021-09-01 07:54:18.340746
1dda55be-3469-3282-a6ce-a1373ce1ba5f,Song,Rock With You,eng,T-070.922.377-7,,2021-09-01 07:54:18.340746
c4bb79ce-b942-3939-bfb1-9b57cc74ea5b,Song,Please Please Me,eng,T-010.078.384-3,,2021-09-01 07:54:18.340746
ad0db2a5-a7c2-4d08-9c42-deed7898ae54,Song,I Love the Rain,eng,,,2021-09-01 07:54:18.340746
7e0d23fd-50db-3839-85b3-9070901cc61f,Song,Devil Wouldn't Recognize You,eng,,,2021-09-01 07:54:18.340746
